Continent,Country_No_Spacing,Emissions_2010,GDP_2010,Population,ISOcode
1,China,9679.2994,12347585.03,1337705000,CHN
1,India,2432.1761,5591775.208,1205624648,IND
2,UnitedStates,6668.7868,15252069.02,309326225,USA
1,Indonesia,814.7109,1932690.427,240676485,IDN
3,Brazil,1104.6437,2741409.023,195210154,BRA
1,Pakistan,304.8486,730682.824,173149306,PAK
4,Nigeria,320.0428,822103.5482,159707780,NGA
1,Bangladesh,126.5979,322577.7743,151125475,BGD
2,RussianFederation,2291.5686,3084575.708,142389000,RUS
1,Japan,1257.1002,4404874.627,127450459,JPN
3,Mexico,681.8654,1807807.102,117886404,MEX
1,Philippines,147.7549,524567.7683,93444322,PHL
4,Ethiopia,123.0489,92452.75263,87095281,ETH
1,Vietnam,263.9759,390001.8907,86932500,VNM
2,Germany,903.9783,3243966.832,81776930,DEU
4,Egypt,276.5847,829227.9429,78075705,EGY
4,Iran,698.3792,1169420.73,74462314,IRN
2,Turkey,382.294,1208847.393,72137546,TUR
1,Thailand,346.3409,851389.4774,66402316,THA
2,France,513.2301,2322514.6,65031235,FRA
2,UnitedKingdom,582.1132,2177112.634,62747868,GBR
4,DemRepCongo,171.2562,25882.31509,62191161,DRC
2,Italy,496.2746,2046923.674,60483385,ITA
1,Myanmar,160.0449,0,51931231,MMR
4,SouthAfrica,458.2913,590716.3908,50895698,ZAF
1,SouthKorea,661.6932,1394003.265,49410366,PRK
2,Spain,350.2699,1482477.947,46576897,ESP
3,Colombia,170.9442,501657.3709,46444798,COL
2,Ukraine,380.8901,360399.0795,45870700,UKR
4,Tanzania,73.1024,67483.8299,44973330,TZA
